value
128093
154439
137329
168047
176761
167914
138634
145352
148375
150914
154706
156442
155353
107108
112597
126073
121797
160354
142146
154794
112695
118942
134097
137143
147233
124779
126188
114054
111329
128979
132029
146399
162554
137077
124935
148522
140520
142173
137184
143568
137767
140524
121404
152302
147518
125407
156388
124960
122995
134078
